Feature,Category,Status,Agent,Priority,Effort,Description,Notes
Typewriter Opening Screen,Onboarding,LIVE,1,Core,Done,"First-launch immersive screen with Benjamin Franklin quote, character-by-character typewriter effect (40ms intervals), skip button at 1.5s, auto-navigate on return","Plays every launch now (not just first)"
Design Studio (6 sections),Onboarding,LIVE,2,Core,Done,"Color/form/texture/canvas/details/mark customization with live preview, 10 color chips, 3 layouts, 5 textures, 5 canvases, 5 toggles, monogram",Edit mode accessible from Settings
Goals Onboarding,Onboarding,LIVE,4,Core,Done,"Max 3 goals during onboarding with frequency/time/day pickers, writing reminders with fallback toggle",Skip option available
Notification Permission Screen,Onboarding,LIVE,12,Core,Done,"Android 13+ notification permission request, inserted after OnboardingGoals",
Rich Text Editor,Writing,LIVE,3,Core,Done,"HTML editor (richeditor-compose), B/I/U/S/bullet/numbered toolbar, dual storage (content_html + content_plain)",Library: richeditor-compose 1.0.0-rc13
Auto-Save,Writing,LIVE,3,Core,Done,"5s debounce auto-save with pulsing dot indicator (6dp, top-right)",
Word Count,Writing,LIVE,3,Core,Done,Real-time word count displayed in Write screen,
Tag Input,Writing,LIVE,3,Core,Done,"Comma-separated tags, stored as JSON array, themed dialog",
Same-Day Deduplication,Writing,LIVE,3,Core,Done,Loads existing entry if one exists for today,
Monogram Header,Writing,LIVE,2/3,Nice-to-have,Done,Custom text (max 20 chars) shown in header/footer with serif/sans font,
Date Header,Writing,LIVE,3,Nice-to-have,Done,"Format: 'Saturday, February 8, 2026' — togglable in Design Studio",
Canvas Line Styles,Writing,LIVE,2/3,Core,Done,"5 styles: lined, dotted, grid, numbered, blank with configurable opacity",
Font Size Preference,Writing,LIVE,5,Nice-to-have,Done,"Small/medium/large option in Settings",
Photo Attachments,Writing,LIVE,6,High,Done,"Camera/gallery picker, image storage with unique IDs, attachment strip, swipe-to-remove, full-screen viewer",Images stored as JSON paths
Location Auto-Tagging,Writing,LIVE,7,Medium,Done,"GPS location detection via Google Play Services, auto-tags entries with location name on save",Requires permission
Weather Auto-Tagging,Writing,LIVE,7,Medium,Done,"OpenWeather API integration, stores temp/condition/icon on entry",
Voice Notes,Writing,LIVE,10,Medium,Done,"Audio recording (MediaRecorder), speech-to-text transcription, audio player in EntryDetail",
Guided Templates,Writing,LIVE,8,Medium,Done,"10 pre-built templates across 5 categories (reflection/gratitude/growth/wellness/creative), template picker sheet",User-created templates also supported
Context Chips,Writing,LIVE,12,Nice-to-have,Done,"Display tags, location, weather, mood as chips in entries",
Journal Entry List,Journal,LIVE,3,Core,Done,"Entry list with date group headers, content preview (3 lines), mood circle, tags, word count",
FTS4 Search,Journal,LIVE,3,Core,Done,"Full-text search with 300ms debounce, date-range detection, bold highlighting in snippets",
Calendar View,Journal,LIVE,9,High,Done,"Month heatmap showing entry density per day, date tap to filter",
Gallery View,Journal,LIVE,9,Medium,Done,"Grid of entry thumbnails with images/title/date",
View Mode Switcher,Journal,LIVE,9,Medium,Done,"Toggle between list/calendar/gallery views",
Swipe-to-Dismiss Delete,Journal,LIVE,3,Core,Done,Swipe entry card to delete with confirmation dialog,
Entry Detail Screen,Journal,LIVE,3,Core,Done,"Full-screen read view with diary color background, edit/delete from overflow menu",
Goal Creation & Management,Goals,LIVE,4,Core,Done,"Title/frequency/time/days, create/edit/delete, unlimited goals in main app",
Goal Progress Tracking,Goals,LIVE,4,Core,Done,"Daily/weekly/monthly progress bars, calculated from check-ins",
Streak Calculation,Goals,LIVE,4,Core,Done,"Consecutive days tracking, resets if broken, displayed as fire emoji",
Goal Check-In,Goals,LIVE,4,Core,Done,"Button: outlined when unchecked, filled + disabled when done today",
Writing Reminders,Notifications,LIVE,4,Core,Done,"Configurable time + days, max 5 reminders, fallback 30min later",
Goal Reminders,Notifications,LIVE,4,Core,Done,Notification at scheduled time for each active goal,
Boot Receiver,Notifications,LIVE,4,Core,Done,"Re-registers all alarms after device reboot, manually creates Room DB",
Notification Health Checker,Notifications,LIVE,12,Nice-to-have,Done,"Validates notification state on app launch, detects disabled channels",
Lapsed User Notifications,Notifications,LIVE,12,Medium,Done,"WorkManager job detecting inactive users, sends re-engagement notification",
Weekly Digest Worker,Notifications,LIVE,12,Medium,Done,WorkManager job for AI-powered weekly summary,
Snooze Support,Notifications,LIVE,12,Nice-to-have,Done,Snooze action on notifications via SnoozeReceiver,
Dark Mode,Settings,LIVE,5,Core,Done,"Toggle in Settings, writes preference, live switching with Material 3",
Reminder Management,Settings,LIVE,5,Core,Done,"Dedicated screen to list/edit/delete/add writing reminders",
Export Diary (JSON),Settings,LIVE,5,Core,Done,Full diary export as JSON file,
Export Diary (Text),Settings,LIVE,5,Core,Done,Full diary export as plain text,
Delete All Data,Settings,LIVE,5,Core,Done,"2-step confirmation with text entry, nukes all data",
Contact Support,Settings,LIVE,12,Nice-to-have,Done,"Categorized support form: feedback, bug report, feature request",
Privacy Policy & Terms,Settings,LIVE,5,Core,Done,Static legal pages,
Subscription ($5/mo or $30/yr),Monetization,LIVE,5,Core,Done,"Google Play Billing v7, trial logic, purchase restoration",
Paywall Gate,Monetization,LIVE,5,Core,Done,"Blocks premium features (Write tab, Wrapped, YearInReview) when subscription expired",
7-Day Free Trial,Monetization,LIVE,5,Core,Done,"trial_start_date preference, paywall after 7 days",
Free Tier (30 entries),Monetization,LIVE,12,Core,Done,"Free users limited to 30 entries (upgraded from 10)",
Discover Screen,Discover,LIVE,12,Medium,Done,"Curated wisdom from great minds: Jefferson, Lincoln, FDR, JFK, Jobs, Musk, Mozart, Beethoven",100 curated entries
AI Weekly Insights,AI,LIVE,11,High,Done,"Gemini Flash API generates weekly summaries with themes, mood trends, prompt suggestions",Build-time API key (was user-entered)
